row_order,schedule_index,condition,model_key,model,pubmed_id,gold_label,decision,error_prob,action,parse_status,parse_notes,is_correct,evidence_policy,evidence_chars,max_tokens,threshold_rule,prompt_tokens,completion_tokens,total_tokens,api_attempts,api_error,retry_events_json,response_id,response_model,system_fingerprint,request_started_utc,request_finished_utc,latency_seconds,raw_response,raw_length
1,6,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,26348845,SUPPORTED,REFUTED,0.2,COMMIT,full,clean,0,short,1200,80,explicit_numeric,632,21,653,1,,[],p1Su4Fq-4YNCb4-a3bc0c44eb91a2a4,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:17.708470+00:00,2026-09-16T01:20:18.475581+00:00,0.767,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
2,13,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,10973547,REFUTED,SUPPORTED,0.2,COMMIT,full,clean,0,short,1200,80,explicit_numeric,624,20,644,1,,[],p1Su7RG-4YNCb4-a3bc0c8778935b53,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:28.341532+00:00,2026-09-16T01:20:29.773184+00:00,1.432,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
3,18,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,26163474,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,80,explicit_numeric,570,20,590,1,,[],p1Su9Cr-fdNmn-a3bc0caccae0a257,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:34.355192+00:00,2026-09-16T01:20:35.301256+00:00,0.946,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
4,25,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,24374414,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,80,explicit_numeric,556,20,576,1,,[],p1SuBct-4YNCb4-a3bc0cdfbf005933,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:42.474652+00:00,2026-09-16T01:20:43.497035+00:00,1.022,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
5,38,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,18507507,SUPPORTED,INCONCLUSIVE,0.7,SEEK_EVIDENCE,full,clean,0,short,1200,80,explicit_numeric,526,24,550,1,,[],p1SuG8v-fdNmn-a3bc0d3e6f3aa28f,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:57.628262+00:00,2026-09-16T01:20:58.453528+00:00,0.825,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.7
ACTION: SEEK_EVIDENCE",67
6,45,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,23495128,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,80,explicit_numeric,551,20,571,1,,[],p1SuJXt-fdNmn-a3bc0d70e90f1801,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:05.715236+00:00,2026-09-16T01:21:06.844089+00:00,1.129,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
7,50,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,17192736,REFUTED,REFUTED,0.2,COMMIT,full,clean,1,short,1200,80,explicit_numeric,631,21,652,1,,[],p1SuLJF-4YNCb4-a3bc0d9638ef31ac,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:11.651865+00:00,2026-09-16T01:21:12.575695+00:00,0.924,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
8,57,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,12163782,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,80,explicit_numeric,599,20,619,1,,[],p1SuNjS-4YNCb4-a3bc0dc96cbc2bc8,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:19.842030+00:00,2026-09-16T01:21:20.737957+00:00,0.896,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
9,70,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,9582182,SUPPORTED,REFUTED,0.2,COMMIT,full,clean,0,short,1100,80,explicit_numeric,570,21,591,1,,[],p1SuTBy-fdNmn-a3bc0e26ea21a279,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:34.795421+00:00,2026-09-16T01:21:35.722104+00:00,0.927,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
10,77,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,25588461,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,80,explicit_numeric,565,20,585,1,,[],p1SuVjk-4YNCb4-a3bc0e5c9af5df96,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:43.378726+00:00,2026-09-16T01:21:44.418969+00:00,1.04,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
11,82,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,23453079,SUPPORTED,REFUTED,0.2,COMMIT,full,clean,0,short,1200,80,explicit_numeric,582,21,603,1,,[],p1SuXeP-4YNCb4-a3bc0e84bd3c97bf,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:49.854536+00:00,2026-09-16T01:21:51.283843+00:00,1.429,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",55
12,89,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,14518645,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,891,80,explicit_numeric,536,20,556,1,,[],p1Sua8B-fdNmn-a3bc0eb8bcffa2a0,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:58.148295+00:00,2026-09-16T01:21:58.966409+00:00,0.818,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
13,102,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,21084567,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1105,80,explicit_numeric,567,20,587,1,,[],p1Sufjk-4YNCb4-a3bc0f2eedf38130,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:22:17.105813+00:00,2026-09-16T01:22:18.727685+00:00,1.622,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
14,109,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,11601252,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1018,80,explicit_numeric,562,20,582,1,,[],p1SuiEX-fdNmn-a3bc0f62eafcaa1d,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:22:25.417319+00:00,2026-09-16T01:22:26.179526+00:00,0.762,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
15,114,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,20577124,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,80,explicit_numeric,601,20,621,1,,[],p1Sujqy-4YNCb4-a3bc0f855f583d9b,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:22:30.910050+00:00,2026-09-16T01:22:31.834962+00:00,0.925,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
16,121,C0,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,16647887,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,short,932,80,explicit_numeric,528,21,549,1,,[],p1SunAA-4YNCb4-a3bc0fb5fbedef5d,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:22:38.692550+00:00,2026-09-16T01:22:39.823184+00:00,1.131,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
