row_order,schedule_index,condition,model_key,model,pubmed_id,gold_label,decision,error_prob,action,parse_status,parse_notes,is_correct,evidence_policy,evidence_chars,max_tokens,threshold_rule,prompt_tokens,completion_tokens,total_tokens,api_attempts,api_error,retry_events_json,response_id,response_model,system_fingerprint,request_started_utc,request_finished_utc,latency_seconds,raw_response,raw_length
1,1,C1,gpt,gpt-4.1-mini,26348845,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,610,20,630,1,,[],chatcmpl-EOYbkxA6cBScMr927taXlQyaRbdVH,gpt-4.1-mini-2025-04-14,fp_477f138a18,2026-09-16T01:20:10.126224+00:00,2026-09-16T01:20:12.600598+00:00,2.474,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
2,14,C1,gpt,gpt-4.1-mini,10973547,REFUTED,SUPPORTED,0.2,COMMIT,full,clean,0,short,1200,300,explicit_numeric,595,20,615,1,,[],chatcmpl-EOYc2Jzh1WqE5tXogGdyQCC9XHXZW,gpt-4.1-mini-2025-04-14,fp_73ba833c7d,2026-09-16T01:20:30.079459+00:00,2026-09-16T01:20:30.693676+00:00,0.614,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
3,21,C1,gpt,gpt-4.1-mini,26163474,SUPPORTED,INCONCLUSIVE,0.35,ABSTAIN,full,clean,0,short,1200,300,explicit_numeric,542,22,564,1,,[],chatcmpl-EOYcAVCOYnxs8XAVXkMBR0Xi811pD,gpt-4.1-mini-2025-04-14,fp_6e472412bd,2026-09-16T01:20:38.069569+00:00,2026-09-16T01:20:38.785132+00:00,0.716,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.35
ACTION: ABSTAIN",62
4,26,C1,gpt,gpt-4.1-mini,24374414,SUPPORTED,INCONCLUSIVE,0.25,COMMIT,full,clean,0,short,1200,300,explicit_numeric,532,21,553,1,,[],chatcmpl-EOYcGmW5UEpsWSFtPaHawD1JX8WLI,gpt-4.1-mini-2025-04-14,fp_27fa8c7d29,2026-09-16T01:20:43.805436+00:00,2026-09-16T01:20:44.417856+00:00,0.612,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.25
ACTION: COMMIT",61
5,33,C1,gpt,gpt-4.1-mini,18507507,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,499,20,519,1,,[],chatcmpl-EOYcPGAIRjIDA054P8jb5WN7EEBx3,gpt-4.1-mini-2025-04-14,fp_6bc8ee4e86,2026-09-16T01:20:52.407910+00:00,2026-09-16T01:20:53.019167+00:00,0.611,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
6,46,C1,gpt,gpt-4.1-mini,23495128,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1200,300,explicit_numeric,522,20,542,1,,[],chatcmpl-EOYcekZ1SO1ox9K4RPCOQJ5pt3VZR,gpt-4.1-mini-2025-04-14,fp_1677d11c7c,2026-09-16T01:21:07.150614+00:00,2026-09-16T01:21:07.812458+00:00,0.662,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
7,53,C1,gpt,gpt-4.1-mini,17192736,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,short,1200,300,explicit_numeric,600,21,621,1,,[],chatcmpl-EOYcm0jCwQQfGRkFA8UmBC8PGMyrv,gpt-4.1-mini-2025-04-14,fp_f1951aa9a9,2026-09-16T01:21:15.340683+00:00,2026-09-16T01:21:16.159645+00:00,0.819,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
8,58,C1,gpt,gpt-4.1-mini,12163782,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,574,20,594,1,,[],chatcmpl-EOYcrQmHHmtVpXRyq3dCEEbYhEgxC,gpt-4.1-mini-2025-04-14,fp_e8e59f8bfb,2026-09-16T01:21:21.044449+00:00,2026-09-16T01:21:21.691504+00:00,0.647,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
9,65,C1,gpt,gpt-4.1-mini,9582182,SUPPORTED,REFUTED,0.1,COMMIT,full,clean,0,short,1100,300,explicit_numeric,548,21,569,1,,[],chatcmpl-EOYd0iZlcO1DpU6rG4TCr76vCLT6N,gpt-4.1-mini-2025-04-14,fp_5077a5477e,2026-09-16T01:21:29.671378+00:00,2026-09-16T01:21:30.293027+00:00,0.622,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
10,78,C1,gpt,gpt-4.1-mini,25588461,SUPPORTED,INCONCLUSIVE,0.35,ABSTAIN,full,clean,0,short,1200,300,explicit_numeric,538,22,560,1,,[],chatcmpl-EOYdF2qqYShy633US6VLED0JtAiD9,gpt-4.1-mini-2025-04-14,fp_27fa8c7d29,2026-09-16T01:21:44.723397+00:00,2026-09-16T01:21:45.345411+00:00,0.622,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.35
ACTION: ABSTAIN",62
11,85,C1,gpt,gpt-4.1-mini,23453079,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1200,300,explicit_numeric,553,20,573,1,,[],chatcmpl-EOYdOfubG3p6SbsCgoGxGhzi7AbtA,gpt-4.1-mini-2025-04-14,fp_8c3b082e4e,2026-09-16T01:21:53.864964+00:00,2026-09-16T01:21:54.364671+00:00,0.5,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
12,90,C1,gpt,gpt-4.1-mini,14518645,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,891,300,explicit_numeric,512,20,532,1,,[],chatcmpl-EOYdUSa2KvRrVoNpce9RDk87OL1cH,gpt-4.1-mini-2025-04-14,fp_dc9dc22150,2026-09-16T01:21:59.274617+00:00,2026-09-16T01:22:00.091506+00:00,0.817,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
13,97,C1,gpt,gpt-4.1-mini,21084567,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1105,300,explicit_numeric,542,20,562,1,,[],chatcmpl-EOYdgOD7K3lzPaCD10vsIa7OMepcm,gpt-4.1-mini-2025-04-14,fp_7681b9e269,2026-09-16T01:22:11.460450+00:00,2026-09-16T01:22:12.382666+00:00,0.922,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
14,110,C1,gpt,gpt-4.1-mini,11601252,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1018,300,explicit_numeric,541,20,561,1,,[],chatcmpl-EOYdvRYUNRlB9xc3J6z1ciPq4z5kb,gpt-4.1-mini-2025-04-14,fp_77a162052f,2026-09-16T01:22:26.487877+00:00,2026-09-16T01:22:27.226358+00:00,0.738,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
15,117,C1,gpt,gpt-4.1-mini,20577124,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1200,300,explicit_numeric,569,20,589,1,,[],chatcmpl-EOYe3yqBYFuKsbBF5vLMzabgizqUl,gpt-4.1-mini-2025-04-14,fp_2d64b11188,2026-09-16T01:22:34.494462+00:00,2026-09-16T01:22:35.024697+00:00,0.53,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
16,122,C1,gpt,gpt-4.1-mini,16647887,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,short,932,300,explicit_numeric,495,21,516,1,,[],chatcmpl-EOYe8bMTWheQpEsiUpfx2t5pVOvdx,gpt-4.1-mini-2025-04-14,fp_dc9dc22150,2026-09-16T01:22:40.127641+00:00,2026-09-16T01:22:40.844467+00:00,0.717,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
17,129,C1,gpt,gpt-4.1-mini,24019262,SUPPORTED,SUPPORTED,0.25,COMMIT,full,clean,1,short,1200,300,explicit_numeric,543,20,563,1,,[],chatcmpl-EOYeIHZMEA9CBet5Qyjq3KQGiLfZA,gpt-4.1-mini-2025-04-14,fp_9462904437,2026-09-16T01:22:49.654404+00:00,2026-09-16T01:22:50.164252+00:00,0.51,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.25
ACTION: COMMIT",58
18,142,C1,gpt,gpt-4.1-mini,18670651,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,300,explicit_numeric,619,20,639,1,,[],chatcmpl-EOYeYmhN1MNTdYnIg7iI6JhA6rmYK,gpt-4.1-mini-2025-04-14,fp_9ab5ecfee8,2026-09-16T01:23:05.209207+00:00,2026-09-16T01:23:05.933481+00:00,0.724,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
19,149,C1,gpt,gpt-4.1-mini,15137012,REFUTED,SUPPORTED,0.1,COMMIT,full,clean,0,short,1085,300,explicit_numeric,559,20,579,1,,[],chatcmpl-EOYegQLvUdEOElbeTuwaJQuOoevMw,gpt-4.1-mini-2025-04-14,fp_9ab5ecfee8,2026-09-16T01:23:14.137466+00:00,2026-09-16T01:23:14.790367+00:00,0.653,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
20,154,C1,gpt,gpt-4.1-mini,11380492,SUPPORTED,INCONCLUSIVE,0.3,ABSTAIN,full,clean,0,short,1200,300,explicit_numeric,558,22,580,1,,[],chatcmpl-EOYemDEHfP5QG37fKoUOXAKiVkOy1,gpt-4.1-mini-2025-04-14,fp_9ab5ecfee8,2026-09-16T01:23:19.869679+00:00,2026-09-16T01:23:20.679513+00:00,0.81,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.3
ACTION: ABSTAIN",61
21,161,C1,gpt,gpt-4.1-mini,17274051,REFUTED,INCONCLUSIVE,0.45,ABSTAIN,full,clean,0,short,1200,300,explicit_numeric,625,22,647,1,,[],chatcmpl-EOYevoWfQMKFV58yfxADjNn6KuvqZ,gpt-4.1-mini-2025-04-14,fp_7725bead7d,2026-09-16T01:23:29.085114+00:00,2026-09-16T01:23:29.695144+00:00,0.61,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.45
ACTION: ABSTAIN",62
22,174,C1,gpt,gpt-4.1-mini,12846929,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1200,300,explicit_numeric,560,20,580,1,,[],chatcmpl-EOYfBIdIYfkl1sIjEV5GkLs3b6ISS,gpt-4.1-mini-2025-04-14,fp_46b5f3c708,2026-09-16T01:23:44.242403+00:00,2026-09-16T01:23:44.847784+00:00,0.605,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
23,181,C1,gpt,gpt-4.1-mini,18948835,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1184,300,explicit_numeric,568,20,588,1,,[],chatcmpl-EOYfIR2Ha0HRZME0kFVSaXB2pd1lS,gpt-4.1-mini-2025-04-14,fp_03a696da6b,2026-09-16T01:23:51.617834+00:00,2026-09-16T01:23:52.219845+00:00,0.602,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
